,ID,Household income,Education,Household size,Rainfall,Ave temp,Travel time,Amount spent,Willingness to pay,Kitchen Sink,ToiletWC,Garden,Car,Volume,Shortest distance,Height diff,LULC,Gender_female,Gender_male,Method_borehole,Method_carried,Method_delivered,Method_well,Availability_not_often,Availability_often,Quality_fair,Quality_good,Quality_poor,Quality_very good,Predicted volume
118,119,100000,1,3,107,74,25,180,230,0,0,0,0,300,199.4,5,7,1,0,0,0,1,0,1,0,0,1,0,0,285.105667053345
119,120,80000,1,6,107,74,52,165,210,0,0,0,0,300,172.0,7,7,1,0,0,0,1,0,1,0,0,1,0,0,276.94622285414346
120,121,40000,1,4,107,74,35,285,330,0,0,0,0,320,147.49,3,7,0,1,0,0,1,0,0,1,1,0,0,0,263.2714551417957
121,122,50000,1,4,107,74,25,360,410,0,0,0,0,400,57.01,1,7,1,0,0,0,1,0,0,1,1,0,0,0,354.4327028347774
122,123,100000,1,3,107,74,13,480,300,0,0,0,0,390,56.75,2,7,1,0,0,1,0,0,1,0,0,1,0,0,401.55496682927196
123,124,100000,1,4,107,74,35,220,270,0,0,0,0,320,145.91,8,7,1,0,0,0,1,0,0,1,0,1,0,0,311.2265210599796
124,125,40000,1,4,107,74,22,405,450,0,0,0,0,440,55.01,1,7,1,0,0,0,1,0,1,0,0,1,0,0,378.0857203439174
125,126,100000,1,3,107,74,13,350,400,0,0,0,0,390,88.62,4,7,1,0,0,1,0,0,1,0,0,1,0,0,400.2975155360525
126,127,60000,1,3,107,74,13,480,300,0,0,0,0,390,97.74,3,7,1,0,0,1,0,0,0,1,0,1,0,0,335.4153575783425
127,128,40000,1,4,107,74,22,450,500,0,0,0,0,480,32.02,1,7,1,0,0,1,0,0,1,0,1,0,0,0,405.41774749838794
128,129,95000,1,6,107,74,42,240,290,0,0,0,0,420,79.88,0,7,1,0,0,1,0,0,0,1,0,1,0,0,377.9910506399906
129,130,45000,1,3,107,74,13,480,300,0,0,0,1,390,95.52,4,7,1,0,0,0,1,0,1,0,0,1,0,0,350.7908692783503
130,131,85000,1,4,107,74,25,405,450,0,0,0,0,440,56.01,1,7,1,0,0,1,0,0,0,1,0,1,0,0,425.30913543447474
131,132,60000,1,3,107,74,22,450,500,0,0,0,0,360,94.37,1,7,1,0,0,0,1,0,1,0,1,0,0,0,389.86665633846155
132,133,75000,1,4,107,74,15,480,300,0,0,0,0,520,23.85,1,7,1,0,0,0,1,0,0,1,0,1,0,0,419.9166186747857
133,134,80000,1,4,107,74,25,300,350,0,0,0,0,440,74.17,1,7,1,0,0,1,0,0,1,0,0,1,0,0,374.3903538166645
