,ID,Household income,Education,Household size,Rainfall,Ave temp,Travel time,Amount spent,Willingness to pay,Kitchen Sink,ToiletWC,Garden,Car,Volume,Shortest distance,Height diff,LULC,Gender_female,Gender_male,Method_borehole,Method_carried,Method_delivered,Method_well,Availability_not_often,Availability_often,Quality_fair,Quality_good,Quality_poor,Quality_very good,Predicted volume
87,88,85000,1,6,0,75,122,120,170,0,0,0,0,60,422.2,3,7,1,0,0,0,1,0,0,1,0,1,0,0,121.83569588822974
88,89,45000,1,3,0,75,62,190,240,0,0,0,0,120,349.23,8,7,1,0,0,0,1,0,0,1,1,0,0,0,106.4759179308441
89,90,45000,1,3,0,75,62,120,170,0,0,0,0,120,326.96,10,7,1,0,0,0,1,0,1,0,0,1,0,0,75.94538945407592
90,91,45000,1,4,0,75,55,165,210,0,0,0,0,200,297.43,7,7,1,0,0,0,1,0,1,0,0,1,0,0,156.38510964003967
91,92,45000,1,4,0,75,62,165,210,0,0,0,0,160,345.24,11,7,1,0,0,0,1,0,1,0,0,1,0,0,126.70810742454256
92,93,45000,1,6,0,75,132,100,150,0,0,0,0,120,318.68,10,7,1,0,0,0,1,0,1,0,1,0,0,0,51.918714382867165
93,94,45000,1,6,0,75,132,165,210,0,0,0,0,120,292.31,9,7,1,0,0,0,1,0,0,1,1,0,0,0,84.12968660350208
94,95,45000,1,6,0,75,135,120,170,0,0,0,0,120,320.98,10,7,1,0,0,0,1,0,1,0,0,0,0,1,12.510903437963805
95,96,45000,1,3,0,75,62,165,210,0,0,0,0,120,359.9,16,7,1,0,0,0,1,0,1,0,0,0,0,1,33.92681281985813
96,97,45000,1,4,0,75,92,165,210,0,0,0,0,120,322.58,12,7,1,0,0,0,1,0,0,1,0,0,0,1,28.477083167977014
97,98,50000,1,4,0,75,55,200,250,0,0,0,0,200,266.32,10,7,1,0,0,0,1,0,1,0,1,0,0,0,178.7824967982098
98,99,80000,1,4,0,75,92,165,210,0,0,0,0,120,364.61,9,7,1,0,0,0,1,0,1,0,1,0,0,0,140.511249678111
99,100,70000,1,5,0,75,25,285,330,0,0,0,0,400,239.56,2,7,1,0,0,0,1,0,0,1,1,0,0,0,372.34236272719113
100,101,85000,1,6,107,74,32,240,290,0,0,0,0,420,90.27,2,7,1,0,0,0,1,0,0,1,0,1,0,0,415.3004887329297
101,102,105000,1,3,107,74,13,480,300,0,0,0,0,390,201.42,2,7,1,0,0,0,1,0,0,1,1,0,0,0,441.7634037118534
102,103,40000,1,4,107,74,42,285,330,0,0,0,0,320,154.25,3,7,1,0,0,0,1,0,1,0,1,0,0,0,285.21570646281737
103,104,65000,1,5,107,74,62,210,260,0,0,0,0,300,169.96,3,7,1,0,0,0,1,0,0,1,1,0,0,0,271.71507077003156
104,105,85000,1,6,107,74,65,165,210,0,0,0,0,300,173.93,6,7,1,0,0,0,1,0,1,0,1,0,0,0,294.0233868334156
105,106,60000,1,3,107,74,25,405,450,0,0,0,0,330,144.14,6,7,1,0,0,0,1,0,1,0,0,1,0,0,382.8737693478107
106,107,75000,1,4,107,74,25,200,250,0,0,0,0,320,164.0,6,7,1,0,0,0,1,0,1,0,0,0,0,1,258.24318770705986
107,108,55000,1,5,107,74,25,285,330,0,0,0,0,400,108.26,2,7,1,0,0,0,1,0,1,0,1,0,0,0,373.7467176279606
108,109,95000,1,6,107,74,42,210,260,0,0,0,0,360,113.89,2,7,1,0,0,0,1,0,0,1,0,1,0,0,386.27851197017503
109,110,75000,1,4,107,74,32,330,380,0,0,0,0,360,183.35,1,7,1,0,0,0,1,0,1,0,0,1,0,0,394.240200295516
110,111,85000,1,6,107,74,52,165,210,0,0,0,0,300,226.74,2,7,1,0,0,0,1,0,1,0,1,0,0,0,310.1530623971208
111,112,85000,1,4,107,74,42,240,290,0,0,0,0,280,283.47,1,7,1,0,0,0,1,0,1,0,1,0,0,0,315.70499595780547
112,113,85000,1,3,107,74,25,360,410,0,0,0,0,300,261.69,2,7,1,0,0,0,1,0,1,0,0,1,0,0,388.97067135475646
113,114,85000,1,4,107,74,25,405,450,0,0,0,0,440,118.68,2,7,1,0,0,1,0,0,0,1,0,1,0,0,467.4378523103887
114,115,85000,1,5,107,74,22,450,500,0,0,0,0,600,33.53,1,7,1,0,0,0,1,0,0,1,1,0,0,0,575.8797608980869
115,116,85000,1,5,107,74,52,210,260,0,0,0,0,300,142.44,2,7,1,0,0,0,1,0,0,1,1,0,0,0,318.0828905596453
116,117,85000,1,4,107,74,35,220,270,0,0,0,0,400,81.5,0,7,1,0,0,1,0,0,1,0,0,1,0,0,358.698024684854
117,118,85000,1,5,107,74,32,285,330,0,0,0,0,400,88.28,2,7,1,0,0,1,0,0,1,0,0,1,0,0,411.40785386376365
118,119,100000,1,3,107,74,25,180,230,0,0,0,0,300,199.4,5,7,1,0,0,0,1,0,1,0,0,1,0,0,312.4610617397934
119,120,80000,1,6,107,74,52,165,210,0,0,0,0,300,172.0,7,7,1,0,0,0,1,0,1,0,0,1,0,0,301.4207593076229
120,121,40000,1,4,107,74,35,285,330,0,0,0,0,320,147.49,3,7,0,1,0,0,1,0,0,1,1,0,0,0,278.2056032411958
121,122,50000,1,4,107,74,25,360,410,0,0,0,0,400,57.01,1,7,1,0,0,0,1,0,0,1,1,0,0,0,389.8049885160685
122,123,100000,1,3,107,74,13,480,300,0,0,0,0,390,56.75,2,7,1,0,0,1,0,0,1,0,0,1,0,0,447.7953366234559
123,124,100000,1,4,107,74,35,220,270,0,0,0,0,320,145.91,8,7,1,0,0,0,1,0,0,1,0,1,0,0,342.6118784630865
124,125,40000,1,4,107,74,22,405,450,0,0,0,0,440,55.01,1,7,1,0,0,0,1,0,1,0,0,1,0,0,421.9167959545109
125,126,100000,1,3,107,74,13,350,400,0,0,0,0,390,88.62,4,7,1,0,0,1,0,0,1,0,0,1,0,0,446.2264886741629
126,127,60000,1,3,107,74,13,480,300,0,0,0,0,390,97.74,3,7,1,0,0,1,0,0,0,1,0,1,0,0,372.2448644640093
127,128,40000,1,4,107,74,22,450,500,0,0,0,0,480,32.02,1,7,1,0,0,1,0,0,1,0,1,0,0,0,448.72485032053623
128,129,95000,1,6,107,74,42,240,290,0,0,0,0,420,79.88,0,7,1,0,0,1,0,0,0,1,0,1,0,0,417.82236223550336
129,130,45000,1,3,107,74,13,480,300,0,0,0,1,390,95.52,4,7,1,0,0,0,1,0,1,0,0,1,0,0,390.28368482475156
130,131,85000,1,4,107,74,25,405,450,0,0,0,0,440,56.01,1,7,1,0,0,1,0,0,0,1,0,1,0,0,475.20550535435706
131,132,60000,1,3,107,74,22,450,500,0,0,0,0,360,94.37,1,7,1,0,0,0,1,0,1,0,1,0,0,0,431.65062591023514
132,133,75000,1,4,107,74,15,480,300,0,0,0,0,520,23.85,1,7,1,0,0,0,1,0,0,1,0,1,0,0,469.62356819155764
133,134,80000,1,4,107,74,25,300,350,0,0,0,0,440,74.17,1,7,1,0,0,1,0,0,1,0,0,1,0,0,415.4858622016647
134,135,95000,1,6,107,74,42,240,290,0,0,0,0,420,79.2,1,7,1,0,0,1,0,0,0,1,1,0,0,0,412.2940753127218
135,136,95000,1,6,107,74,32,330,380,0,0,0,0,540,30.59,1,7,1,0,0,0,1,0,1,0,0,1,0,0,529.3982298559664
136,137,95000,1,4,107,74,22,450,500,0,0,0,0,480,67.08,2,7,1,0,0,1,0,0,1,0,1,0,0,0,531.9338025645848
137,138,95000,1,5,107,74,32,230,280,0,0,0,0,450,69.35,2,7,1,0,0,0,1,0,0,1,0,1,0,0,417.4245770570055
138,139,95000,1,3,107,74,5,600,450,0,0,0,0,480,49.48,1,7,1,0,0,0,1,0,1,0,0,1,0,0,561.9281562633489
139,140,95000,1,3,107,74,5,480,300,0,0,0,0,480,45.88,0,7,1,0,0,0,1,0,0,1,1,0,0,0,476.9800455780506
140,141,95000,1,4,107,74,25,360,410,0,0,0,0,400,93.91,3,7,1,0,0,1,0,0,0,1,1,0,0,0,446.0716598385359
141,142,75000,1,6,107,74,25,280,330,0,0,0,0,600,10.77,0,7,1,0,0,0,1,0,0,1,0,1,0,0,490.57528234735497
142,143,95000,1,6,107,74,35,285,330,0,0,0,0,480,60.44,2,7,1,0,0,0,1,0,0,1,0,1,0,0,472.32679854081874
143,144,60000,1,3,107,74,5,720,380,0,0,0,0,570,35.44,1,7,1,0,0,1,0,0,1,0,0,1,0,0,526.2912178986093
144,145,75000,1,4,107,74,22,450,500,0,0,0,0,480,59.51,0,7,1,0,0,1,0,0,1,0,0,1,0,0,508.6072691613398
145,146,40000,1,4,107,74,25,180,230,0,0,0,0,400,99.76,1,7,1,0,0,0,1,0,1,0,0,1,0,0,281.1669770707792
146,147,65000,1,5,107,74,35,285,330,0,0,0,0,400,89.47,2,7,1,0,0,0,1,0,0,1,0,1,0,0,380.1773127620455
147,148,85000,1,6,107,74,35,300,350,0,0,0,0,480,57.71,1,7,1,0,0,1,0,0,1,0,1,0,0,0,462.04133119814145
148,149,40000,1,4,107,74,62,120,170,0,0,0,0,160,229.59,8,7,1,0,0,0,1,0,1,0,1,0,0,0,116.38875405456525
149,150,45000,1,3,107,74,5,645,400,0,0,0,0,510,36.36,1,7,1,0,0,1,0,0,1,0,0,1,0,0,475.875282098894
150,151,65000,1,5,107,74,35,285,330,0,0,0,0,400,129.4,5,7,1,0,0,0,1,0,0,1,0,1,0,0,371.2032692740338
151,152,40000,1,4,107,74,32,360,410,0,0,0,0,400,121.5,4,7,1,0,0,0,1,0,0,1,1,0,0,0,356.7783743791775
152,153,40000,1,6,107,74,42,210,260,0,0,0,0,360,177.72,4,7,1,0,0,0,1,0,0,1,0,1,0,0,290.72185318091306
153,154,40000,1,5,107,74,132,380,430,0,0,0,0,100,230.65,7,7,1,0,0,0,1,0,0,1,0,1,0,0,194.68897478374362
154,155,40000,1,4,107,74,92,210,260,0,0,0,0,120,294.54,6,7,1,0,0,0,1,0,0,1,1,0,0,0,117.94565582330392
155,156,40000,1,4,107,74,92,210,260,0,0,0,0,120,178.72,2,7,1,0,0,0,1,0,1,0,1,0,0,0,141.87175297822853
156,157,40000,1,5,107,74,132,380,430,0,0,0,0,100,196.02,9,7,1,0,0,0,1,0,1,0,1,0,0,0,196.48395366081763
157,158,90000,1,6,107,74,122,210,260,0,0,0,0,60,224.45,11,7,1,0,0,0,1,0,0,1,1,0,0,0,187.2997268532278
158,159,105000,1,6,107,74,113,180,230,0,0,0,0,120,215.2,11,7,1,0,0,0,1,0,0,1,1,0,0,0,220.92920965988026
159,160,70000,1,5,107,74,113,210,260,0,0,0,0,100,210.11,5,7,1,0,0,0,1,0,1,0,1,0,0,0,174.94089778077335
